index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
0,1.395e+17,2.077e+16,1.3665e-10,7.8618e-12,50569.13745,50569.61257,xray
1,1.883e+17,2.805e+16,1.3231e-10,5.2986e-12,50569.13745,50569.61257,xray
2,2.542e+17,3.786e+16,1.2801e-10,4.5958e-12,50569.13745,50569.61257,xray
3,3.432e+17,5.111e+16,1.1696e-10,4.4475e-12,50569.13745,50569.61257,xray
4,4.633e+17,6.901e+16,1.0488e-10,2.8152e-12,50569.13745,50569.61257,xray
5,6.255e+17,9.316e+16,8.8421e-11,2.2462e-12,50569.13745,50569.61257,xray
6,8.444e+17,1.258e+17,7.2995e-11,2.3614e-12,50569.13745,50569.61257,xray
7,1.14e+18,1.698e+17,5.7982e-11,2.5232e-12,50569.13745,50569.61257,xray
8,1.539e+18,2.292e+17,4.52e-11,2.9633e-12,50569.13745,50569.61257,xray
9,2.078e+18,3.094e+17,3.5261e-11,4.271e-12,50569.13745,50569.61257,xray
10,2.805e+18,4.177e+17,3.4097e-11,5.9665e-12,50569.13745,50569.61257,xray
11,3.787e+18,5.64e+17,2.3764e-11,7.404e-12,50569.13745,50569.61257,xray
12,5.112e+18,7.614e+17,1.3121e-11,5.6114e-12,50569.13745,50569.61257,xray
13,1.395e+17,2.077e+16,1.2152e-10,7.5656e-12,50568.13853,50568.61257,xray
14,1.883e+17,2.805e+16,1.1975e-10,5.1653e-12,50568.13853,50568.61257,xray
15,2.542e+17,3.786e+16,1.1276e-10,4.4159e-12,50568.13853,50568.61257,xray
16,3.432e+17,5.111e+16,1.0242e-10,4.2636e-12,50568.13853,50568.61257,xray
17,4.633e+17,6.901e+16,9.1837e-11,2.6236e-12,50568.13853,50568.61257,xray
18,6.255e+17,9.316e+16,7.5065e-11,2.0579e-12,50568.13853,50568.61257,xray
19,8.444e+17,1.258e+17,6.1312e-11,2.1533e-12,50568.13853,50568.61257,xray
20,1.14e+18,1.698e+17,4.842e-11,2.297e-12,50568.13853,50568.61257,xray
21,1.539e+18,2.292e+17,3.6566e-11,2.648e-12,50568.13853,50568.61257,xray
22,2.078e+18,3.094e+17,2.7242e-11,3.7938e-12,50568.13853,50568.61257,xray
23,2.805e+18,4.177e+17,2.0942e-11,4.7456e-12,50568.13853,50568.61257,xray
24,3.787e+18,5.64e+17,1.9813e-11,8.8386e-12,50568.13853,50568.61257,xray
25,5.112e+18,7.614e+17,9.5194e-12,4.2269e-12,50568.13853,50568.61257,xray
26,6.901e+18,1.028e+18,6.7267e-12,5.1925e-12,50568.13853,50568.61257,xray
27,1.686e+17,2.431e+16,9.4074e-11,5.6775e-12,50572.14245,50572.40632,xray
28,2.254e+17,3.25e+16,8.1026e-11,4.1163e-12,50572.14245,50572.40632,xray
29,3.014e+17,4.345e+16,7.2742e-11,3.816e-12,50572.14245,50572.40632,xray
30,4.029e+17,5.808e+16,5.6103e-11,3.1906e-12,50572.14245,50572.40632,xray
31,5.386e+17,7.765e+16,4.6724e-11,2.3201e-12,50572.14245,50572.40632,xray
32,7.201e+17,1.038e+17,3.7001e-11,2.1553e-12,50572.14245,50572.40632,xray
33,9.627e+17,1.388e+17,2.6832e-11,2.1507e-12,50572.14245,50572.40632,xray
34,1.287e+18,1.855e+17,1.927e-11,2.2791e-12,50572.14245,50572.40632,xray
35,1.721e+18,2.48e+17,1.4851e-11,2.7725e-12,50572.14245,50572.40632,xray
36,2.3e+18,3.316e+17,1.1e-11,4.0123e-12,50572.14245,50572.40632,xray
37,1.013e+17,1.591e+16,1.1084e-10,1.1759e-11,50573.14747,50573.40632,xray
38,1.391e+17,2.183e+16,1.0962e-10,7.4741e-12,50573.14747,50573.40632,xray
39,1.909e+17,2.996e+16,1.0979e-10,5.0636e-12,50573.14747,50573.40632,xray
40,2.619e+17,4.112e+16,9.6034e-11,4.1529e-12,50573.14747,50573.40632,xray
41,3.595e+17,5.643e+16,8.2534e-11,3.9594e-12,50573.14747,50573.40632,xray
42,4.933e+17,7.744e+16,7.1766e-11,3.1859e-12,50573.14747,50573.40632,xray
43,6.771e+17,1.063e+17,5.658e-11,2.6164e-12,50573.14747,50573.40632,xray
44,9.292e+17,1.459e+17,4.2829e-11,2.6717e-12,50573.14747,50573.40632,xray
45,1.275e+18,2.002e+17,3.2066e-11,2.9465e-12,50573.14747,50573.40632,xray
46,1.75e+18,2.747e+17,2.3772e-11,3.6065e-12,50573.14747,50573.40632,xray
47,2.402e+18,3.77e+17,1.6916e-11,5.1022e-12,50573.14747,50573.40632,xray
48,1.686e+17,2.431e+16,1.0529e-10,6.3803e-12,50571.14216,50571.40354,xray
49,2.254e+17,3.25e+16,1.0391e-10,4.9696e-12,50571.14216,50571.40354,xray
50,3.014e+17,4.345e+16,9.8872e-11,4.7578e-12,50571.14216,50571.40354,xray
51,4.029e+17,5.808e+16,8.5049e-11,4.0364e-12,50571.14216,50571.40354,xray
52,5.386e+17,7.765e+16,7.3457e-11,2.9654e-12,50571.14216,50571.40354,xray
53,7.201e+17,1.038e+17,5.8814e-11,2.7687e-12,50571.14216,50571.40354,xray
54,9.627e+17,1.388e+17,4.6299e-11,2.8817e-12,50571.14216,50571.40354,xray
55,1.287e+18,1.855e+17,3.8159e-11,3.2714e-12,50571.14216,50571.40354,xray
56,1.721e+18,2.48e+17,2.6532e-11,3.7358e-12,50571.14216,50571.40354,xray
57,2.3e+18,3.316e+17,2.1595e-11,5.5379e-12,50571.14216,50571.40354,xray
58,3.075e+18,4.433e+17,2.123e-11,1.2858e-11,50571.14216,50571.40354,xray
59,4.111e+18,5.927e+17,1.706e-11,8.3319e-12,50571.14216,50571.40354,xray
60,5.496e+18,7.924e+17,1.1979e-11,9.1382e-12,50571.14216,50571.40354,xray
61,1.773e+17,2.534e+16,2.7444e-10,3.8104e-12,51673.16215,51676.33937,xray
62,2.365e+17,3.379e+16,3.0498e-10,3.4496e-12,51673.16215,51676.33937,xray
63,3.153e+17,4.505e+16,3.1634e-10,3.5381e-12,51673.16215,51676.33937,xray
64,4.204e+17,6.008e+16,3.2758e-10,2.7283e-12,51673.16215,51676.33937,xray
65,5.606e+17,8.011e+16,3.2565e-10,2.6301e-12,51673.16215,51676.33937,xray
66,7.475e+17,1.068e+17,3.2072e-10,2.265e-12,51673.16215,51676.33937,xray
67,9.968e+17,1.424e+17,3.1235e-10,2.708e-12,51673.16215,51676.33937,xray
68,1.329e+18,1.899e+17,3.0504e-10,3.629e-12,51673.16215,51676.33937,xray
69,1.772e+18,2.533e+17,2.9206e-10,5.067e-12,51673.16215,51676.33937,xray
70,2.363e+18,3.377e+17,2.8053e-10,8.1894e-12,51673.16215,51676.33937,xray
71,3.151e+18,4.503e+17,2.4203e-10,4.2741e-12,51673.16215,51676.33937,xray
72,4.202e+18,6.005e+17,2.2633e-10,2.8939e-12,51673.16215,51676.33937,xray
73,5.603e+18,8.007e+17,2.0103e-10,3.1753e-12,51673.16215,51676.33937,xray
74,7.472e+18,1.068e+18,1.7092e-10,4.4067e-12,51673.16215,51676.33937,xray
75,9.963e+18,1.424e+18,1.4839e-10,5.9527e-12,51673.16215,51676.33937,xray
76,1.328e+19,1.898e+18,1.2623e-10,8.9504e-12,51673.16215,51676.33937,xray
77,1.771e+19,2.531e+18,8.0833e-11,9.5255e-12,51673.16215,51676.33937,xray
78,2.362e+19,3.375e+18,7.1796e-11,1.1499e-11,51673.16215,51676.33937,xray
79,3.15e+19,4.501e+18,5.7304e-11,1.9823e-11,51673.16215,51676.33937,gammaray
80,1.057e+17,1.649e+16,2.1709e-10,1.0742e-11,50924.07815,50925.13458,xray
81,1.448e+17,2.258e+16,2.1526e-10,6.3065e-12,50924.07815,50925.13458,xray
82,1.983e+17,3.092e+16,2.1451e-10,4.6153e-12,50924.07815,50925.13458,xray
83,2.716e+17,4.234e+16,2.0751e-10,4.0938e-12,50924.07815,50925.13458,xray
84,3.719e+17,5.798e+16,1.9127e-10,4.0518e-12,50924.07815,50925.13458,xray
85,5.092e+17,7.939e+16,1.7044e-10,3.5686e-12,50924.07815,50925.13458,xray
86,6.974e+17,1.087e+17,1.4553e-10,3.168e-12,50924.07815,50925.13458,xray
87,9.549e+17,1.489e+17,1.184e-10,3.1528e-12,50924.07815,50925.13458,xray
88,1.308e+18,2.039e+17,9.5931e-11,3.8651e-12,50924.07815,50925.13458,xray
89,1.791e+18,2.792e+17,7.2636e-11,5.1181e-12,50924.07815,50925.13458,xray
90,2.452e+18,3.823e+17,6.261e-11,8.0042e-12,50924.07815,50925.13458,xray
91,3.358e+18,5.235e+17,2.5838e-11,7.7641e-12,50924.07815,50925.13458,xray
92,4.599e+18,7.169e+17,2.5669e-11,5.0278e-12,50924.07815,50925.13458,xray
93,6.297e+18,9.818e+17,2.2017e-11,6.7268e-12,50924.07815,50925.13458,xray
94,8.623e+18,1.344e+18,2.0682e-11,6.8697e-12,50924.07815,50925.13458,xray
