index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
79,3.15e+19,4.501e+18,5.7304e-11,1.9823e-11,51673.16215,51676.33937,gammaray
161,3.15e+19,4.501e+18,7.532e-11,3.0269e-11,51660.73374,51662.97052,gammaray
180,3.15e+19,4.501e+18,6.4096e-11,2.9933e-11,51664.12794,51667.09238,gammaray
226,6.649e+25,,8.994e-11,5.7444e-12,54466.0,54647.0,gammaray
227,8.221e+25,,7.99e-11,4.6007e-12,54466.0,54647.0,gammaray
228,1.016e+26,,7.4867e-11,3.9737e-12,54466.0,54647.0,gammaray
229,1.255e+26,,7.6905e-11,3.8578e-12,54466.0,54647.0,gammaray
230,1.552e+26,,5.7174e-11,3.5085e-12,54466.0,54647.0,gammaray
231,1.917e+26,,5.3006e-11,3.5042e-12,54466.0,54647.0,gammaray
232,2.37e+26,,4.1161e-11,3.2175e-12,54466.0,54647.0,gammaray
233,2.931e+26,,2.7489e-11,2.8171e-12,54466.0,54647.0,gammaray
234,3.622e+26,,2.6332e-11,3.0003e-12,54466.0,54647.0,gammaray
235,4.476e+26,,1.784e-11,2.7403e-12,54466.0,54647.0,gammaray
236,5.532e+26,,1.5248e-11,2.7393e-12,54466.0,54647.0,gammaray
237,6.838e+26,,1.2628e-11,2.6537e-12,54466.0,54647.0,gammaray
238,8.453e+26,,5.7825e-12,2.1755e-12,54466.0,54647.0,gammaray
239,1.045e+27,,5.8153e-12,2.2525e-12,54466.0,54647.0,gammaray
240,6.649e+25,,1.5436e-10,4.2965e-12,54466.0,54647.0,gammaray
241,8.221e+25,,1.4593e-10,3.5449e-12,54466.0,54647.0,gammaray
242,1.016e+26,,1.4111e-10,3.5271e-12,54466.0,54647.0,gammaray
243,1.255e+26,,1.2636e-10,3.3714e-12,54466.0,54647.0,gammaray
244,1.552e+26,,1.1371e-10,3.3104e-12,54466.0,54647.0,gammaray
245,1.917e+26,,9.772e-11,3.1606e-12,54466.0,54647.0,gammaray
246,2.37e+26,,8.7185e-11,3.1636e-12,54466.0,54647.0,gammaray
247,2.931e+26,,7.3265e-11,3.116e-12,54466.0,54647.0,gammaray
248,3.622e+26,,6.2918e-11,3.1768e-12,54466.0,54647.0,gammaray
249,4.476e+26,,5.3126e-11,3.18e-12,54466.0,54647.0,gammaray
250,5.532e+26,,4.7967e-11,3.209e-12,54466.0,54647.0,gammaray
251,6.838e+26,,3.3725e-11,2.9907e-12,54466.0,54647.0,gammaray
252,8.453e+26,,3.0058e-11,3.1683e-12,54466.0,54647.0,gammaray
253,1.045e+27,,1.7308e-11,2.7461e-12,54466.0,54647.0,gammaray
254,1.292e+27,,8.111e-12,2.1388e-12,54466.0,54647.0,gammaray
255,1.775e+27,,9.0745e-12,1.8641e-12,54466.0,54647.0,gammaray
256,2.712e+27,,3.1255e-12,1.3995e-12,54466.0,54647.0,gammaray
257,6.649e+25,,2.1301e-10,6.9318e-12,54466.0,54647.0,gammaray
258,8.221e+25,,2.0299e-10,5.8305e-12,54466.0,54647.0,gammaray
259,1.016e+26,,1.9931e-10,5.9125e-12,54466.0,54647.0,gammaray
260,1.255e+26,,1.832e-10,5.7398e-12,54466.0,54647.0,gammaray
261,1.552e+26,,1.606e-10,5.5728e-12,54466.0,54647.0,gammaray
262,1.917e+26,,1.4136e-10,5.5283e-12,54466.0,54647.0,gammaray
263,2.37e+26,,1.2907e-10,5.6041e-12,54466.0,54647.0,gammaray
264,2.931e+26,,1.1652e-10,5.7402e-12,54466.0,54647.0,gammaray
265,3.622e+26,,9.5311e-11,5.659e-12,54466.0,54647.0,gammaray
266,4.476e+26,,9.5899e-11,6.1975e-12,54466.0,54647.0,gammaray
267,5.532e+26,,8.5467e-11,6.3743e-12,54466.0,54647.0,gammaray
268,6.838e+26,,6.9565e-11,6.3401e-12,54466.0,54647.0,gammaray
269,8.453e+26,,4.684e-11,5.7316e-12,54466.0,54647.0,gammaray
270,1.045e+27,,3.7423e-11,5.8094e-12,54466.0,54647.0,gammaray
271,1.292e+27,,3.0295e-11,5.866e-12,54466.0,54647.0,gammaray
272,1.597e+27,,2.0705e-11,5.2251e-12,54466.0,54647.0,gammaray
273,1.973e+27,,1.4053e-11,5.0462e-12,54466.0,54647.0,gammaray
274,2.439e+27,,1.4477e-11,5.6676e-12,54466.0,54647.0,gammaray
275,6.649e+25,,2.0622e-10,3.9924e-11,54466.0,54647.0,gammaray
276,8.221e+25,,2.3874e-10,2.0484e-11,54466.0,54647.0,gammaray
277,1.016e+26,,2.493e-10,1.7161e-11,54466.0,54647.0,gammaray
278,1.255e+26,,2.4931e-10,1.5955e-11,54466.0,54647.0,gammaray
279,1.552e+26,,2.3172e-10,1.5525e-11,54466.0,54647.0,gammaray
280,1.917e+26,,2.1672e-10,1.5365e-11,54466.0,54647.0,gammaray
281,2.37e+26,,2.0034e-10,1.5757e-11,54466.0,54647.0,gammaray
282,2.931e+26,,1.4764e-10,1.4396e-11,54466.0,54647.0,gammaray
283,3.622e+26,,1.19e-10,1.3853e-11,54466.0,54647.0,gammaray
284,4.476e+26,,9.1179e-11,1.318e-11,54466.0,54647.0,gammaray
285,5.532e+26,,9.4273e-11,1.4527e-11,54466.0,54647.0,gammaray
286,6.838e+26,,7.8906e-11,1.4582e-11,54466.0,54647.0,gammaray
287,8.453e+26,,6.554e-11,1.4543e-11,54466.0,54647.0,gammaray
288,1.045e+27,,3.4701e-11,1.2059e-11,54466.0,54647.0,gammaray
