index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
2921,1.363e+13,,7.6108e-12,3.1503e-13,55331.9435565,55337.4341056,infrared
2922,2.498e+13,,9.6719e-12,1.6173e-13,55331.9435565,55337.4341056,infrared
2923,6.517e+13,,2.958e-11,4.7287e-13,55331.9435565,55337.4341056,infrared
2924,8.817e+13,,4.5085e-11,7.2067e-13,55331.9435565,55337.4341056,infrared
2925,1.363e+13,,7.7238e-12,3.1971e-13,55331.9435565,55337.4341056,infrared
2926,2.498e+13,,9.7344e-12,1.6692e-13,55331.9435565,55337.4341056,infrared
2927,6.517e+13,,3.5595e-11,5.6903e-13,55331.9435565,55528.8704366,infrared
2928,8.817e+13,,5.2339e-11,8.2122e-13,55331.9435565,55528.8704366,infrared
2958,2.429e+14,,6.1074e-11,2.0009e-12,,,infrared
2959,1.805e+14,,4.35e-11,2.3447e-12,,,infrared
2960,1.39e+14,,3.8306e-11,1.401e-12,,,infrared
3037,2.4e+14,,1.4e-10,2.73e-12,,,infrared
3038,2.4e+14,,1.26e-10,2.35e-12,,,infrared
3039,2.4e+14,,8.33e-11,4.61e-13,,,infrared
3040,2.4e+14,,1.04e-10,6.91e-12,,,infrared
3041,2.4e+14,,1.13e-10,1.67e-11,,,infrared
3042,2.4e+14,,1.23e-10,4.61e-12,,,infrared
3043,2.4e+14,,1.98e-10,7.45e-12,,,infrared
3044,2.4e+14,,6.14e-11,3.07e-12,,,infrared
3045,2.4e+14,,1.08e-10,7.2e-12,,,infrared
3046,2.4e+14,,1.02e-10,2.4e-12,,,infrared
3047,2.4e+14,,1.03e-10,6.85e-12,,,infrared
3048,2.38e+14,,8.02e-11,2.62e-12,,,infrared
3049,2.38e+14,,1.66e-10,1.27e-11,,,infrared
3050,1.87e+14,,1.56e-10,1.04e-11,,,infrared
3051,1.87e+14,,1.15e-10,4.31e-12,,,infrared
3052,1.84e+14,,1.61e-12,,,,infrared
3053,1.84e+14,,1.61e-12,,,,infrared
3054,1.84e+14,,5.72e-11,2.86e-12,,,infrared
3055,1.84e+14,,9.38e-11,5.52e-12,,,infrared
3056,1.82e+14,,1.17e-10,3.4e-12,,,infrared
3057,1.82e+14,,1.3e-10,3.26e-12,,,infrared
3058,1.82e+14,,7.59e-11,5.62e-13,,,infrared
3059,1.82e+14,,9.02e-11,5.12e-12,,,infrared
3060,1.82e+14,,1.31e-10,7.47e-12,,,infrared
3061,1.82e+14,,1.81e-10,6.81e-12,,,infrared
3062,1.82e+14,,1.11e-10,4.18e-12,,,infrared
3063,1.82e+14,,1.09e-10,1.45e-12,,,infrared
3064,1.82e+14,,9.27e-11,4.37e-12,,,infrared
3065,1.38e+14,,8.41e-11,2.51e-12,,,infrared
3066,1.38e+14,,9.24e-11,2.5e-12,,,infrared
3067,1.38e+14,,5.7e-11,4.22e-13,,,infrared
3068,1.36e+14,,1.34e-10,5.03e-12,,,infrared
3069,1.36e+14,,8.69e-11,3.26e-12,,,infrared
3070,1.36e+14,,8.37e-11,3.14e-12,,,infrared
3071,1.36e+14,,8.72e-11,2.18e-11,,,infrared
3072,1.36e+14,,4.69e-11,4.32e-13,,,infrared
3073,1.35e+14,,4.9e-11,1.89e-12,,,infrared
3074,1.35e+14,,1.13e-10,8.67e-12,,,infrared
3075,1.35e+14,,7.63e-11,3.6e-12,,,infrared
3076,1.35e+14,,1.76e-11,,,,infrared
3077,1.35e+14,,6.35e-11,2.7e-12,,,infrared
3078,1.35e+14,,4.23e-11,2.11e-12,,,infrared
3079,1.31e+14,,5.79e-11,2.63e-12,,,infrared
3080,1.31e+14,,6.34e-11,2.99e-12,,,infrared
3081,1.31e+14,,5.78e-11,3.28e-12,,,infrared
3082,1.31e+14,,6.22e-11,2.33e-12,,,infrared
3083,1.31e+14,,7.21e-11,1.05e-12,,,infrared
3084,8.69e+13,,4.17e-11,3.48e-12,,,infrared
3085,8.57e+13,,4.49e-11,1.01e-11,,,infrared
3086,8.57e+13,,3.66e-11,5.43e-12,,,infrared
3087,8.57e+13,,4.2e-11,3.43e-13,,,infrared
3088,8.57e+13,,3.94e-11,1.02e-11,,,infrared
3089,8.57e+13,,3.98e-11,4.54e-12,,,infrared
3090,8.47e+13,,6.72e-11,2.64e-11,,,infrared
3091,8.47e+13,,4.4e-11,2.5e-12,,,infrared
3092,2.97e+13,,3.21e-11,7.12e-12,,,infrared
3093,2.97e+13,,9.8e-12,2.08e-12,,,infrared
3094,2.86e+13,,7.71e-12,,,,infrared
3095,2.83e+13,,2.74e-11,4.53e-12,,,infrared
3096,2.5e+13,,2.25e-11,3.75e-12,,,infrared
3097,1.27e+13,,9.54e-12,5.3e-15,,,infrared
3098,1.27e+13,,9.24e-12,2.66e-15,,,infrared
3099,1.2e+13,,1.14e-11,2.28e-12,,,infrared
3100,5e+12,,9.04e-12,1.1e-12,,,infrared
3101,3e+12,,1.08e-11,2.04e-12,,,infrared
3178,6.38e+13,,4.21e-11,,,,infrared
3179,3.57e+13,,2.54e-10,,,,infrared
3180,2.86e+13,,7.42e-12,,,,infrared
