index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
2929,2.17e+11,,6.6946e-13,6.3095e-14,,,millimeter
2930,1e+11,,3.8064e-13,5.6158e-14,,,millimeter
2932,2.17e+11,,5.1529e-13,7.2026e-14,55055.5,55527.5,millimeter
2933,1.43e+11,,3.9628e-13,5.489e-14,55055.5,55527.5,millimeter
2934,1e+11,,3.2797e-13,6.1651e-14,55055.5,55527.5,millimeter
2939,2.17e+11,,5.4949e-13,9.937e-14,55055.5,55354.5,millimeter
2940,1e+11,,5.2342e-13,6.7266e-14,55055.5,55354.5,millimeter
3102,2.7e+12,,1.97e-11,3.1e-12,,,millimeter
3103,3.75e+11,,7.88e-13,1.88e-13,,,millimeter
3104,3e+11,,4.95e-16,6e-18,,,millimeter
3105,2.7e+11,,8.37e-13,8.1e-14,,,millimeter
3106,2.3e+11,,6.21e-13,6.9e-14,,,millimeter
3107,99900000000.0,,3.6e-13,9.69e-16,,,millimeter
3108,93000000000.0,,2.6e-13,7.44e-14,,,millimeter
3109,90000000000.0,,4.86e-13,1.08e-13,,,millimeter
3110,86000000000.0,,4.99e-13,,,,millimeter
3111,43200000000.0,,7.21e-14,,,,millimeter
3112,37000000000.0,,1.85e-13,2.96e-14,,,millimeter
3113,37000000000.0,,1.28e-13,,,,millimeter
3114,30000000000.0,,1.18e-13,6e-15,,,millimeter
3181,37000000000.0,,1.55e-13,,,,millimeter
3415,37000000000.0,,1.443e-13,2.59e-14,53425.895,53425.9112037,millimeter
3416,37000000000.0,,1.443e-13,2.59e-14,53433.801,53433.8172037,millimeter
3417,37000000000.0,,1.443e-13,2.96e-14,53441.852,53441.8682037,millimeter
3418,37000000000.0,,1.554e-13,3.33e-14,52693.849,52693.8652037,millimeter
3419,37000000000.0,,2.072e-13,2.22e-14,52625.056,52625.0722037,millimeter
3420,37000000000.0,,1.073e-13,2.22e-14,53460.82,53460.8362037,millimeter
3421,37000000000.0,,1.665e-13,2.22e-14,52627.064,52627.0802037,millimeter
3422,37000000000.0,,1.628e-13,3.7e-14,53458.725,53458.7412037,millimeter
3423,37000000000.0,,1.591e-13,2.22e-14,53363.947,53363.9632037,millimeter
3424,37000000000.0,,1.11e-13,2.59e-14,53365.983,53365.9992037,millimeter
3425,37000000000.0,,1.739e-13,2.22e-14,53367.292,53367.3082037,millimeter
3426,37000000000.0,,1.184e-13,2.59e-14,53381.94,53381.9562037,millimeter
3427,37000000000.0,,1.48e-13,2.96e-14,52689.896,52689.9122037,millimeter
3428,37000000000.0,,1.554e-13,2.59e-14,52687.92,52687.9362037,millimeter
3429,37000000000.0,,2.368e-13,3.33e-14,52658.267,52658.2832037,millimeter
3430,37000000000.0,,1.443e-13,2.59e-14,52653.006,52653.0222037,millimeter
3431,37000000000.0,,2.886e-13,4.44e-14,52624.372,52624.3882037,millimeter
3432,37000000000.0,,2.59e-13,2.59e-14,52645.292,52645.3082037,millimeter
3433,37000000000.0,,2.59e-13,2.59e-14,52643.311,52643.3272037,millimeter
3434,37000000000.0,,1.48e-13,2.22e-14,52642.045,52642.0612037,millimeter
3435,37000000000.0,,2.22e-13,4.81e-14,52631.031,52631.0472037,millimeter
3436,37000000000.0,,2.183e-13,2.59e-14,52641.243,52641.2592037,millimeter
3437,37000000000.0,,1.591e-13,2.59e-14,52615.055,52615.0712037,millimeter
3438,37000000000.0,,1.258e-13,2.22e-14,52690.823,52690.8392037,millimeter
3439,37000000000.0,,1.406e-13,2.59e-14,52539.25,52539.2662037,millimeter
3440,37000000000.0,,2.183e-13,2.96e-14,52578.485,52578.5012037,millimeter
