index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
1281,8.563e+14,,8.893e-11,1.8162e-13,53904.042477,53904.042477,optical
1282,8.563e+14,,8.9155e-11,6.3727e-13,53900.016169,53900.016169,optical
1283,8.563e+14,,7.6154e-11,4.3409e-13,53901.490544,53901.490544,optical
1284,8.563e+14,,7.9984e-11,2.1513e-13,53902.025347,53902.025347,optical
1285,8.563e+14,,1.1117e-10,8.8217e-13,54556.555984,54556.555984,optical
1286,5.55e+14,,1.0397e-10,1.0933e-12,54556.555984,54556.555984,optical
1825,8.563e+14,,1.3526e-10,3.5216e-12,57548.486435,57548.497707,optical
1858,8.563e+14,,1.85e-10,6.1442e-12,57412.913819,57412.914751,optical
1862,8.563e+14,,1.8162e-10,6.032e-12,57414.091678,57414.092553,optical
1888,5.55e+14,,1.6303e-10,1.6573e-11,57412.918692,57412.918717,optical
1903,5.55e+14,,1.6303e-10,4.7395e-12,57414.096262,57414.097136,optical
1919,8.563e+14,,6.3558e-11,2.1109e-12,53851.954606,53851.955857,optical
1933,5.55e+14,,9.5554e-11,2.778e-12,53461.919178,53461.919924,optical
1950,5.55e+14,,1.4732e-10,4.2828e-12,56023.526308,56023.527274,optical
1958,8.563e+14,,1.7028e-10,5.6554e-12,56023.521262,56023.522227,optical
1979,8.563e+14,,7.5018e-11,1.9531e-12,53904.044942,53904.079631,optical
2021,8.563e+14,,9.9811e-11,4.1045e-12,57026.253461,57026.253735,optical
2030,8.563e+14,,1.6412e-10,5.4508e-12,57405.450556,57405.451476,optical
2063,5.55e+14,,1.4069e-10,4.0901e-12,57364.437639,57364.438593,optical
2066,8.563e+14,,1.4427e-10,4.7914e-12,57364.432639,57364.433593,optical
2067,5.55e+14,,1.4597e-10,4.2436e-12,57405.455394,57405.456314,optical
2241,8.563e+14,,1.4968e-10,3.8971e-12,56616.784132,56616.797866,optical
2245,8.563e+14,,1.4831e-10,3.8613e-12,56616.799444,56616.810697,optical
2293,5.55e+14,,6.7961e-11,1.4005e-12,53847.252674,53847.259688,optical
2297,8.563e+14,,9.1864e-11,3.0511e-12,53900.016759,53900.018847,optical
2300,5.55e+14,,9.1253e-11,1.8806e-12,53460.045891,53460.049839,optical
2306,8.563e+14,,1.026e-10,2.6714e-12,53847.252847,53847.258196,optical
2721,5.55e+14,,1.0192e-10,2.963e-12,54556.573044,54556.575411,optical
2722,8.563e+14,,1.0843e-10,3.6013e-12,54556.560868,54556.563235,optical
2829,8.563e+14,,1.7344e-10,4.5159e-12,57520.973866,57520.984528,optical
2941,4.688e+14,,2.751e-09,2.6541e-10,,,optical
2942,6.818e+14,,1.2679e-10,1.2232e-11,,,optical
2943,8.451e+14,,3.7215e-11,1.9602e-13,,,optical
2944,6.289e+14,,6.8689e-11,1.4289e-13,,,optical
2945,4.815e+14,,1.0154e-10,5.6614e-13,,,optical
2946,3.937e+14,,1.0798e-10,5.258e-13,,,optical
2947,3.286e+14,,1.1632e-10,2.8926e-13,,,optical
2948,8.451e+14,,3.4472e-13,8.5739e-14,,,optical
2949,6.289e+14,,6.0991e-12,3.0326e-14,,,optical
2950,4.815e+14,,4.3543e-12,5.7168e-14,,,optical
2951,3.937e+14,,5.6584e-12,7.0495e-14,,,optical
2952,3.286e+14,,3.4833e-12,4.1647e-14,,,optical
2953,8.451e+14,,4.3666e-11,1.9054e-13,,,optical
2954,6.289e+14,,8.2883e-11,1.6197e-13,,,optical
2955,4.815e+14,,1.0204e-10,6.4486e-13,,,optical
2956,3.937e+14,,5.0875e-11,4.4948e-13,,,optical
2957,3.286e+14,,1.1352e-10,2.7675e-13,,,optical
2964,8.36e+14,,8.14e-11,1.57e-12,,,optical
2965,8.19e+14,,6.41e-11,,,,optical
2966,8.19e+14,,6.41e-11,,,,optical
2967,8.19e+14,,1.12e-10,2.3e-11,,,optical
2968,8.19e+14,,1.39e-10,,,,optical
2969,7.02e+14,,1.47e-10,7.02e-12,,,optical
2970,7e+14,,3.21e-11,,,,optical
2971,7e+14,,3.21e-11,,,,optical
2972,6.81e+14,,1.67e-10,7.44e-11,,,optical
2973,6.81e+14,,1.44e-10,1.33e-11,,,optical
2974,6.81e+14,,1.34e-10,,,,optical
2975,6.81e+14,,1.62e-10,,,,optical
2976,6.81e+14,,1.39e-10,2.81e-11,,,optical
2977,6.81e+14,,1.15e-10,3.68e-11,,,optical
2978,6.41e+14,,1.33e-10,3.67e-11,,,optical
2979,6.17e+14,,7.99e-11,1.99e-12,,,optical
2980,5.48e+14,,1.42e-10,1.1e-11,,,optical
2981,5.42e+14,,1.27e-10,3.55e-12,,,optical
2982,5.42e+14,,1.25e-10,3.49e-12,,,optical
2983,5.42e+14,,9.8e-11,6.53e-12,,,optical
2984,5.42e+14,,1.05e-10,4.97e-12,,,optical
2985,5.42e+14,,8.13e-11,4.34e-12,,,optical
2986,5.42e+14,,8.67e-11,4.34e-12,,,optical
2987,5.42e+14,,9.02e-11,8.34e-13,,,optical
2988,5.42e+14,,9.1e-11,4.29e-12,,,optical
2989,5.42e+14,,7.48e-11,2.17e-12,,,optical
2990,5.42e+14,,8.85e-11,8.19e-13,,,optical
2991,5.42e+14,,1.02e-10,6.77e-12,,,optical
2992,5.42e+14,,1.07e-10,9.94e-13,,,optical
2993,5.42e+14,,1.4e-10,2.61e-12,,,optical
2994,5.42e+14,,7.23e-11,6.69e-13,,,optical
2995,5.42e+14,,8.85e-11,8.19e-13,,,optical
2996,5.42e+14,,1.52e-10,3.12e-11,,,optical
2997,5.42e+14,,1.36e-10,,,,optical
2998,5.42e+14,,1.29e-10,5.95e-12,,,optical
2999,5.42e+14,,1.34e-10,,,,optical
3000,5.42e+14,,1.66e-10,,,,optical
3001,4.77e+14,,4.75e-11,7.44e-13,,,optical
3002,4.68e+14,,1.26e-10,3.47e-12,,,optical
3003,4.68e+14,,8.61e-11,4.75e-12,,,optical
3004,4.68e+14,,1.44e-10,3.98e-11,,,optical
3005,4.68e+14,,1.37e-10,,,,optical
3006,4.68e+14,,7.7e-11,3.55e-12,,,optical
3007,4.68e+14,,6.84e-09,,,,optical
3008,4.61e+14,,1.97e-11,5.45e-12,,,optical
