index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
2931,28400000000.0,,1.774e-13,2.371e-14,,,radio
2935,384000000.0,,3.0566e-15,,,,radio
2936,5000000000.0,,3.56e-14,,,,radio
2937,1400000000.0,,1.169e-14,,,,radio
2938,4850000000.0,,3.5065e-14,3.104e-15,46735.5,47069.5,radio
3115,24000000000.0,,9.36e-14,,,,radio
3116,23100000000.0,,1.14e-13,6.24e-15,,,radio
3117,22200000000.0,,4.93e-14,,,,radio
3118,22200000000.0,,9.76e-14,2.66e-14,,,radio
3119,22000000000.0,,1.06e-13,4.62e-14,,,radio
3120,15100000000.0,,9.64e-14,7.53e-15,,,radio
3121,15000000000.0,,6.75e-14,,,,radio
3122,15000000000.0,,4.32e-14,,,,radio
3123,15000000000.0,,5.04e-14,,,,radio
3124,15000000000.0,,7.8e-14,,,,radio
3125,15000000000.0,,7.15e-14,3.75e-15,,,radio
3126,15000000000.0,,6.36e-14,3.45e-15,,,radio
3127,15000000000.0,,6.69e-14,3e-16,,,radio
3128,15000000000.0,,7.25e-14,,,,radio
3129,15000000000.0,,6.67e-14,,,,radio
3130,15000000000.0,,4.95e-14,2.48e-15,,,radio
3131,15000000000.0,,6.6e-14,,,,radio
3132,15000000000.0,,7.95e-14,,,,radio
3133,14600000000.0,,6.25e-14,,,,radio
3134,14500000000.0,,7.16e-14,,,,radio
3135,10600000000.0,,6.71e-14,3.5e-15,,,radio
3136,10500000000.0,,4.91e-14,,,,radio
3137,8460000000.0,,5.34e-14,,,,radio
3138,8400000000.0,,5.31e-14,,,,radio
3139,8400000000.0,,5.3e-14,,,,radio
3140,8400000000.0,,3.19e-14,,,,radio
3141,8400000000.0,,2.29e-14,,,,radio
3142,8350000000.0,,4.17e-14,,,,radio
3143,8000000000.0,,4.23e-14,,,,radio
3144,5000000000.0,,3.65e-14,3e-15,,,radio
3145,5000000000.0,,2e-14,,,,radio
3146,5000000000.0,,1e-14,,,,radio
3147,5000000000.0,,1.62e-14,,,,radio
3148,5000000000.0,,2.11e-14,,,,radio
3149,5000000000.0,,1.31e-14,,,,radio
3150,5000000000.0,,1.67e-14,1.7e-15,,,radio
3151,5000000000.0,,1.41e-14,,,,radio
3152,5000000000.0,,1.99e-14,2e-15,,,radio
3153,4890000000.0,,2.93e-14,,,,radio
3154,4850000000.0,,3.5e-14,4.32e-15,,,radio
3155,4850000000.0,,2.91e-14,,,,radio
3156,4850000000.0,,3.45e-14,5.18e-15,,,radio
3157,4830000000.0,,3.27e-14,,,,radio
3158,4800000000.0,,3.1e-14,,,,radio
3159,4760000000.0,,2.78e-14,1.14e-15,,,radio
3160,4750000000.0,,2.77e-14,4.18e-15,,,radio
3161,4580000000.0,,2.8e-14,1.38e-15,,,radio
3162,1600000000.0,,5.2e-15,,,,radio
3163,1600000000.0,,3.71e-15,3.68e-16,,,radio
3164,1400000000.0,,1.23e-14,,,,radio
3165,1400000000.0,,1.17e-14,,,,radio
3166,1400000000.0,,7.68e-15,3.84e-16,,,radio
3167,1400000000.0,,7.67e-15,,,,radio
3168,1400000000.0,,1.08e-14,4.06e-16,,,radio
3169,1400000000.0,,8.09e-15,,,,radio
3170,1380000000.0,,8.69e-15,4.14e-16,,,radio
3171,408000000.0,,4.65e-15,1.24e-16,,,radio
3172,408000000.0,,4.68e-15,3.75e-16,,,radio
3173,365000000.0,,2.83e-15,6.94e-17,,,radio
3414,1400000000.0,,1.076e-14,4.0551e-16,49231.5,50508.5,radio
3534,4850000000.0,,2.9604e-14,2.425e-17,,,radio
3535,1400000000.0,,5.0638e-16,2.31e-18,49078.5,49443.5,radio
3536,1400000000.0,,1.68e-17,2.296e-18,49078.5,49443.5,radio
3537,1400000000.0,,8.0331e-15,2.31e-18,49078.5,49443.5,radio
3538,408000000.0,,4.692e-15,,,,radio
3539,2700000000.0,,2.079e-14,,,,radio
3540,10700000000.0,,8.453e-14,,,,radio
3541,5000000000.0,,3.625e-14,,,,radio
3542,8460000000.0,,5.3433e-14,3.384e-17,47941.5,47941.5,radio
3543,8400000000.0,,5.3054e-14,,,,radio
