index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
984,1.475e+15,,1.8154e-10,1.1091e-12,55236.060313,55236.060313,uv
985,1.475e+15,,1.5108e-10,9.5765e-13,55265.983877,55265.983877,uv
986,1.475e+15,,2.4168e-10,1.2685e-12,55196.434282,55196.434282,uv
987,1.475e+15,,1.3585e-10,7.8414e-13,55273.950012,55273.950012,uv
988,1.475e+15,,1.6763e-10,9.8423e-13,55245.292234,55245.292234,uv
989,1.475e+15,,1.5748e-10,1.0236e-12,55333.028889,55333.028889,uv
990,1.475e+15,,1.1393e-10,5.2189e-13,54805.118021,54805.118021,uv
991,1.475e+15,,1.0693e-10,6.9252e-13,55294.009676,55294.009676,uv
992,1.475e+15,,1.1005e-10,7.0739e-13,55360.0689,55360.0689,uv
993,1.475e+15,,1.2234e-10,7.2936e-13,55382.749988,55382.749988,uv
994,1.475e+15,,1.2076e-10,1.0668e-12,54569.214213,54569.214213,uv
995,1.475e+15,,1.5545e-10,9.286e-13,55336.907778,55336.907778,uv
996,1.475e+15,,1.2455e-10,1.1545e-12,55357.925521,55357.925521,uv
997,1.475e+15,,1.8454e-10,1.5361e-12,54538.241875,54538.241875,uv
998,1.475e+15,,1.9257e-10,1.1891e-12,55215.262245,55215.262245,uv
999,1.475e+15,,1.0608e-10,6.8112e-13,53904.042477,53904.042477,uv
1000,1.475e+15,,1.3434e-10,5.8035e-13,55147.73103,55147.73103,uv
1001,1.475e+15,,1.7583e-10,1.0718e-12,55269.869433,55269.869433,uv
1002,1.475e+15,,1.3827e-10,8.19e-13,55156.099028,55156.099028,uv
1003,1.475e+15,,1.8399e-10,1.0239e-12,54591.178831,54591.178831,uv
1004,1.475e+15,,1.535e-10,8.4681e-13,55272.946563,55272.946563,uv
1005,1.475e+15,,1.4922e-10,8.1993e-13,55275.953854,55275.953854,uv
1006,1.475e+15,,1.473e-10,9.4188e-13,55315.096782,55315.096782,uv
1007,1.475e+15,,1.5569e-10,1.0791e-12,54945.002002,54945.002002,uv
1008,1.475e+15,,1.489e-10,6.6242e-13,55150.664329,55150.664329,uv
1009,1.475e+15,,1.1946e-10,1.19e-12,55354.911389,55354.911389,uv
1010,1.475e+15,,2.1093e-10,1.3648e-12,54592.175069,54592.175069,uv
1011,1.475e+15,,2.0581e-10,1.021e-12,54974.226354,54974.226354,uv
1012,1.475e+15,,1.4171e-10,9.2371e-13,55228.291528,55228.291528,uv
1013,1.475e+15,,1.5566e-10,9.944e-13,55176.231146,55176.231146,uv
1014,1.475e+15,,1.6088e-10,1.0076e-12,55277.156354,55277.156354,uv
1015,1.475e+15,,2.1056e-10,1.0218e-12,54974.360174,54974.360174,uv
1016,1.475e+15,,1.2111e-10,8.7369e-13,54885.614086,54885.614086,uv
1017,1.475e+15,,1.3863e-10,8.0189e-13,54920.964931,54920.964931,uv
1018,1.475e+15,,2.1025e-10,2.6229e-12,54975.033623,54975.033623,uv
1019,1.475e+15,,2.026e-10,1.6721e-12,55208.376944,55208.376944,uv
1020,1.475e+15,,1.8834e-10,2.1338e-12,54977.042222,54977.042222,uv
1021,1.475e+15,,1.1587e-10,1.0982e-12,55362.898542,55362.898542,uv
1022,1.475e+15,,1.4119e-10,9.6061e-13,55152.489514,55152.489514,uv
1023,1.475e+15,,1.648e-10,1.0014e-12,55230.101111,55230.101111,uv
1024,1.475e+15,,1.9105e-10,1.0674e-12,55190.40941,55190.40941,uv
1025,1.475e+15,,9.2223e-11,1.0784e-12,54858.514155,54858.514155,uv
1026,1.345e+15,,1.5811e-10,1.1166e-12,55265.983877,55265.983877,uv
1027,1.345e+15,,2.2905e-10,1.33e-12,55196.434282,55196.434282,uv
1028,1.345e+15,,2.2836e-10,1.3376e-12,55212.374919,55212.374919,uv
1029,1.345e+15,,1.756e-10,8.3878e-13,55245.292234,55245.292234,uv
1030,1.345e+15,,1.6647e-10,1.1626e-12,55326.890752,55326.890752,uv
1031,1.345e+15,,1.437e-10,1.2011e-12,54948.884873,54948.884873,uv
1032,1.345e+15,,1.667e-10,1.0053e-12,53931.613704,53931.613704,uv
1033,1.345e+15,,1.6647e-10,7.2958e-13,55246.368171,55246.368171,uv
1034,1.345e+15,,6.9167e-11,4.3864e-13,54805.118021,54805.118021,uv
1035,1.345e+15,,1.9691e-10,1.263e-12,54594.265833,54594.265833,uv
1036,1.345e+15,,2.2476e-10,2.0011e-12,53742.409063,53742.409063,uv
1037,1.345e+15,,1.7016e-10,1.1107e-12,55220.281609,55220.281609,uv
1038,1.345e+15,,1.9524e-10,1.2041e-12,55192.42434,55192.42434,uv
1039,1.345e+15,,2.2631e-10,1.443e-12,55211.367315,55211.367315,uv
1040,1.345e+15,,1.2932e-10,9.8066e-13,55284.054016,55284.054016,uv
1041,1.345e+15,,1.8526e-10,1.6289e-12,54538.241875,54538.241875,uv
1042,1.345e+15,,1.5796e-10,1.1178e-12,54778.869097,54778.869097,uv
1043,1.345e+15,,1.3374e-10,9.7397e-13,55257.024861,55257.024861,uv
1044,1.345e+15,,2.3967e-10,1.7955e-12,55198.312558,55198.312558,uv
1045,1.345e+15,,1.0228e-10,9.7691e-13,53904.042477,53904.042477,uv
1046,1.345e+15,,1.732e-10,1.1894e-12,55269.869433,55269.869433,uv
1047,1.345e+15,,1.2895e-10,1.0458e-12,55303.117581,55303.117581,uv
1048,1.345e+15,,1.269e-10,9.6987e-13,55278.022407,55278.022407,uv
1049,1.345e+15,,2.089e-10,1.1956e-12,55214.316539,55214.316539,uv
1050,1.345e+15,,1.4492e-10,9.5195e-13,55156.099028,55156.099028,uv
1051,1.345e+15,,2.1143e-10,1.9064e-12,55209.357801,55209.357801,uv
1052,1.345e+15,,1.6104e-10,1.5651e-12,54943.06662,54943.06662,uv
1053,1.345e+15,,1.1238e-10,8.4925e-13,55288.943368,55288.943368,uv
1054,1.345e+15,,2.2907e-10,1.9064e-12,55188.483252,55188.483252,uv
1055,1.345e+15,,1.6933e-10,1.2901e-12,54945.002002,54945.002002,uv
1056,1.345e+15,,1.6658e-10,1.6981e-12,54510.106308,54510.106308,uv
1057,1.345e+15,,1.5721e-10,1.0881e-12,55150.664329,55150.664329,uv
1058,1.345e+15,,1.6694e-10,1.1594e-12,55267.926215,55267.926215,uv
1059,1.345e+15,,1.5069e-10,1.4259e-12,55153.428831,55153.428831,uv
1060,1.345e+15,,1.5861e-10,1.0294e-12,54559.244931,54559.244931,uv
1061,1.345e+15,,1.8478e-10,1.1513e-12,55345.946655,55345.946655,uv
1062,1.345e+15,,1.5121e-10,9.5334e-13,54913.941308,54913.941308,uv
1063,1.345e+15,,1.849e-10,1.2831e-12,54965.065405,54965.065405,uv
1064,1.345e+15,,1.6472e-10,1.2525e-12,55216.330706,55216.330706,uv
1065,1.345e+15,,1.7957e-10,1.4574e-12,54512.454954,54512.454954,uv
1066,1.345e+15,,1.2559e-10,1.025e-12,54885.614086,54885.614086,uv
1067,1.345e+15,,2.1273e-10,1.091e-12,54593.179236,54593.179236,uv
1068,1.345e+15,,1.5312e-10,1.0099e-12,55319.863044,55319.863044,uv
1069,1.345e+15,,1.5825e-10,1.0338e-12,55250.317049,55250.317049,uv
1070,1.345e+15,,1.0344e-10,8.0566e-13,55293.34691,55293.34691,uv
1071,1.345e+15,,1.5899e-10,9.8379e-13,54914.943484,54914.943484,uv
1072,1.345e+15,,1.9163e-10,1.2854e-12,55180.241007,55180.241007,uv
1073,1.345e+15,,2.1552e-10,2.6189e-12,54975.033623,54975.033623,uv
1074,1.345e+15,,1.6883e-10,1.1116e-12,55223.278368,55223.278368,uv
